atividade;valor;unidade
SELO VERMELHO (TOPO/MOLHADO);1.25;PALETE
SELO VERMELHO (BASE/VAZAMENTO);1.5;PALETE
AMARRAÇÃO;3.0;CARRO
REFUGO;0.9;PALETE
BLITZ (EMPURRADA);1.5;PALETE
BLITZ (CARREG);1.5;PALETE
BLITZ (RETORNO);1.5;PALETE
REPACK;0.0;
DEVOLUÇÃO;1.25;PALETE
TRANSBORDO;1.5;PALETE
TRIAGEM AVARIAS ARMAZÉM D;1.25;PALETE
PRÉ PICKING MKT PLACE (DESTILADOS);2.0;
PRÉ PICKING MKT PLACE (REDBULL);1.5;
CÂMARA FRIA;3.0;
MÁQUINA LIMPEZA;5.0;
5S;14.5;
DESCARREGAMENTO DE VAN;2.0;
EFC;3.85;
EFD;3.85;
TMA;7.70;
RESSUPRIMENTO;3.85;
