Código Promax;Material
90000104; AG CERVEJA LITRÃO INTEGRAL 
90000119; AG LITRINHO CX 23 INTEGRAL 
90000101; AG SKOL 1/1 
101489; BARRIL CHOPP 30L 
101490; BARRIL CHOPP 50L 
23672;CERVEJELA PL BRAHMA 1UN P/ GFA 600ML C/3
35108;CERVEJELA PL SPATEN 1UN P/ GFA 600ML C/3
37108; CHAPATEX COMP1X1 2X003 
188006; GARRAFA 1L RETORN 
198214; GARRAFA 330ML 
786238; GARRAFA VERDE SPATEN 600ML RET 
25546; GARRAFEIRA PL. AL. LAT. AB. PRETA BEES 1 UN P/ 23 
188005; GARRAFEIRA PLAS1L AMBEV 
103332; GARRAFEIRA PLAST 24 GFA 300ML ANTARCTICA 
198213; GARRAFEIRA PLAST 24 GFA 300ML AZUL 
899599; GARRAFEIRA PLAST PRETA 24 GARRAFAS 600ML 
296156; GARRAFEIRA PLAST23 GFA 300MLAZUL 
138165; GARRAFEIRA PLAST24 GFA 600ML ANTARCTICA AZUL 
29043; GFA PC 1L VIDRO 
235894; GFA VIDRO 1L GCA 1LRETORN. 
103322; GFA VIDRO 290ML GUARANA ANT 
27983; GFA VIDRO 635ML AMBAR TIPO A RETORN. 
90000601; KIT AG SPATEN + STELLA 600 
42069; PBR ( 2 ) 05X1 25 
104195; PLT PBR ( 1 )1X1 2 
33962;38 CONHAQUE DE ALCATRÃO GFA VD 900ML C/6
25174;51 ICE BALADA GFA VD 275 ML C/24
25178;51 ICE LIMÃO GFA VD 275 ML C/24
25176;51 ICEFRUIT MIX GFA VD 275 ML C/24
21529;ABSOLUT ORIGINAL GFA VD 1L
24605;ACQUA PANNA S/G GFA VD 250ML C/24
24613;ACQUA PANNA S/G GFA VD 505ML C/24
2538;ANTARCTICA PILSEN 600ML
1743;ANTARCTICA PILSEN GFA VD 1L C/TTC
9067;ANTARCTICA PILSEN LATA 350ML SH C/12 NPA
2008;ANTARCTICA SUBZERO LT 350ML SH C/12 NPAL
21788;BALLANTINES FINEST GFA VD 1L 
35617;BEATS GREEN MIX LT 269 ML SH C/8
33738;BEATS RED MIX LN 269ML SIX PACK SH C/12
33737;BEATS RED MIX LN 269ML SIX PACK SH C/4
33734;BEATS RED MIX LT 269 ML SH C/8
32631;BEATS TROPICAL LN 269ML SIX PACK SH C/4
32349;BEATS TROPICAL LT 269ML CX CARTAO C/8 NP
25160;BLACK WHITE WHISKY GFA VD 1L
16503;BOHEMIA GFA VD 300ML CX C/23
10537;BOHEMIA GFA VD 990ML
19266;BOHEMIA LT 269ML SH C/15
17266;BOHEMIA LT473ML PACK SHRINK C/12
13194;BRAHMA CHOPP ONE WAY 300ML CX C/23
988;BRAHMA CHOPP 600ML
1695;BRAHMA CHOPP GFA VD 1L COM TTC
13201;BRAHMA CHOPP GFA VD 300ML CX C/23
9069;BRAHMA CHOPP LATA 350ML SH C/12 NPAL
11108;BRAHMA CHOPP LATA 550ML SHRINK C/12
1898;BRAHMA CHOPP LT 269ML SH C/15 NPAL
9320;BRAHMA CHOPP LT 473ML SH C/12 NPAL
20150;BRAHMA CHOPP LT 473ML SH C/12 NPAL MULTI
12951;BRAHMA CHOPP ZERO LN 355 SIXP CX CART C4
12948;BRAHMA CHOPP ZERO LATA 350 SH CX C12 NPA
20329;BRAHMA DUPLO MALTE 600ML
20533;BRAHMA DUPLO MALTE GFA VD 1L
20498;BRAHMA DUPLO MALTE LT SLEEK 350ML SH C12
20647;BRAHMA DUPLO MALTE LT 269ML SH C15 NPAL
32648;BUBBALOO MORANGO DISPLAY 5G C/60
2548;BUDWEISER 600ML
35331;BUDWEISER GFA VD 1L
31064;BUDWEISER LATA 269ML SHRINK C/15
13839;BUDWEISER LATA 269ML CX C/8 FRIDGE PACK
21020;BUDWEISER LATA 350ML SLEEK CX CART C/12
14135;BUDWEISER LT 473ML SIX-PACK SH C/2 NPAL
22177;BUDWEISER ZERO LT SLEEK 350ML C8 CX CART
22180;BUDWEISER ZERO LN 330ML SIX-PACK SH C/4
17808;BUDWEISER OW 330ML CX C 24
10539;BUDWEISER LATA 350ML SH C/12 NPAL
11371;BUDWEISER LN343ML SIX PACK CARTAO SH C/4
25198;CACHAÇA 51 LATA 473ML C/12
25194;CACHAÇA 51 LATA 350ML C/12
25220;CACHAÇA 51 PIRAS OURO GFA VD 965ML
27613;CASILL DEL DIABLO VINOH RSRV CBSBG GF VD 750ML
27635;CASILL DEL DIABLO VINOH RSRV CRMN GF VD 750ML
32547;CHAC CHAC VINHO BRANCO GFA VD 750ML
32549;CHAC CHAC VINHO T MALBEC GFA VD 750ML
22009;CHICLETE ADAMS HORTELÃ 2,8G CX C/100
21955;CHIVAS REGAL WHISKY 12 ANOS GFA VD 1L
838;CHOPP BRAHMA CLARO BARRIL KEG 50L
828;CHOPP BRAHMA CLARO BARRIL KEG 30L
8037;CHOPP CLARO STELLA ARTOIS BARRIL KEG 30L
24122;CHOPP SPATEN N BARRIL KEG 50L NPAL
19581;COLORADO APPIA LATA 410ML PACK 12
16665;COLORADO APPIA OW 300ML CX C 12 ARTE
14550;COLORADO APPIA OW 600ML CX C-12 ARTE
16663;COLORADO CAUIM OW 300ML  CX C 12 ARTE
14548;COLORADO CAUIM OW 600ML CX C-12 ARTE
14554;COLORADO DEMOISELLE OW 600ML CX C-12 ART
14552;COLORADO INDICA OW 600ML CX C-12 ARTE
19515;COLORADO LAGER LATA 410ML PACK 12
19166;COLORADO LAGER ONE WAY 600ML CX C-12 ART
27866;CORONA CERO SUNBREW LN 330ML SP BAS CX C4
34263;CORONA CERO SUN N LT 350ML C8 CX CART
31856;CORONA EXTRA N LT 473ML CX CART C/12
18836;CORONA EXTRA N  LN 330ML CX C/24 NPAL
20651;CORONA EXTRA N LT 350ML C8 CX 
13827;CORONA EXTRA LN 355ML SP C/4 - CX70 AUS
18836;CORONA EXTRA LN 355ML SP C/4 - CX70 AUS
18780;CORONITA EXTRA N OW 210ML CX C/4 SIXPA
